name,href,amt,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year,corrected_name,normalized_name,post_merger_kommune
Nysted,k421371.htm,Storstrøms Amt,4368.0,88.36,3860.0,15,2001,Nysted,Nysted,Guldborgsund
Holeby,k421355.htm,Storstrøms Amt,3289.0,88.41,2908.0,13,2001,Holeby,Holeby,Lolland
Maribo,k421363.htm,Storstrøms Amt,8851.0,86.05,7617.0,21,2001,Maribo,Maribo,Lolland
Højreby,k421359.htm,Storstrøms Amt,3252.0,86.53,2814.0,13,2001,Højreby,Højreby,Lolland
Rødby,k421383.htm,Storstrøms Amt,5309.0,85.32,4530.0,15,2001,Rødby,Rødby,Lolland
Rudbjerg,k421381.htm,Storstrøms Amt,2854.0,86.29,2463.0,13,2001,Rudbjerg,Rudbjerg,Lolland
Ravnsborg,k421379.htm,Storstrøms Amt,4563.0,84.98,3878.0,13,2001,Ravnsborg,Ravnsborg,Lolland
Nakskov,k421367.htm,Storstrøms Amt,12184.0,83.52,10177.0,19,2001,Nakskov,Nakskov,Lolland
Haslev,k405313.htm,Vestsjællands Amt,10940.0,87.11,9530.0,15,2001,Haslev,Haslev,Faxe
Fuglebjerg,k405307.htm,Vestsjællands Amt,4859.0,85.59,4159.0,15,2001,Fuglebjerg,Fuglebjerg,Næstved
Hashøj,k405311.htm,Vestsjællands Amt,4898.0,88.7,4345.0,15,2001,Hashøj,Hashøj,Slagelse
Skælskør,k405331.htm,Vestsjællands Amt,8996.0,86.4,7773.0,15,2001,Skælskør,Skælskør,Slagelse
Korsør,k405325.htm,Vestsjællands Amt,15997.0,84.79,13565.0,17,2001,Korsør,Korsør,Slagelse
Ringsted,k405329.htm,Vestsjællands Amt,22923.0,85.22,19535.0,21,2001,Ringsted,Ringsted,Ringsted
Sorø,k405335.htm,Vestsjællands Amt,11565.0,87.32,10099.0,17,2001,Sorø,Sorø,Sorø
Slagelse,k405333.htm,Vestsjællands Amt,28635.0,82.33,23577.0,21,2001,Slagelse,Slagelse,Slagelse
Gørlev,k405309.htm,Vestsjællands Amt,4932.0,87.24,4303.0,15,2001,Gørlev,Gørlev,Kalundborg
Høng,k405319.htm,Vestsjællands Amt,6232.0,87.11,5429.0,15,2001,Høng,Høng,Kalundborg
Dianalund,k405303.htm,Vestsjællands Amt,5509.0,83.98,4627.0,15,2001,Dianalund,Dianalund,Sorø
Tølløse,k405345.htm,Vestsjællands Amt,7057.0,88.45,6242.0,15,2001,Tølløse,Tølløse,Holbæk
Jernløse,k405321.htm,Vestsjællands Amt,4333.0,88.96,3855.0,13,2001,Jernløse,Jernløse,Holbæk
Tornved,k405341.htm,Vestsjællands Amt,6730.0,85.7,5768.0,15,2001,Tornved,Tornved,Holbæk
Hvidebæk,k405317.htm,Vestsjællands Amt,4073.0,87.77,3575.0,15,2001,Hvidebæk,Hvidebæk,Kalundborg
Kalundborg,k405323.htm,Vestsjællands Amt,15453.0,84.7,13090.0,19,2001,Kalundborg,Kalundborg,Kalundborg
Bjergsted,k405301.htm,Vestsjællands Amt,6085.0,84.3,5130.0,17,2001,Bjergsted,Bjergsted,Kalundborg
Holbæk,k405315.htm,Vestsjællands Amt,26383.0,84.63,22330.0,21,2001,Holbæk,Holbæk,Holbæk
Svinninge,k405339.htm,Vestsjællands Amt,4931.0,87.12,4296.0,13,2001,Svinninge,Svinninge,Holbæk
Dragsholm,k405305.htm,Vestsjællands Amt,10420.0,86.85,9050.0,21,2001,Dragsholm,Dragsholm,Odsherred
Trundholm,k405343.htm,Vestsjællands Amt,8897.0,84.98,7561.0,17,2001,Trundholm,Trundholm,Odsherred
Kerteminde,k435439.htm,Fyns Amt,8451.0,90.07,7612.0,17,2001,Kerteminde,Kerteminde,Kerteminde
Gudme,k435435.htm,Fyns Amt,4715.0,87.65,4133.0,15,2001,Gudme,Gudme,Svendborg
Svendborg,k435479.htm,Fyns Amt,33561.0,85.69,28760.0,21,2001,Svendborg,Svendborg,Svendborg
Egebjerg,k435427.htm,Fyns Amt,6673.0,89.16,5950.0,17,2001,Egebjerg,Egebjerg,Svendborg
Faaborg,k435431.htm,Fyns Amt,13490.0,87.24,11770.0,21,2001,Faaborg,Fåborg,Faaborg-Midtfyn
Ryslinge,k435477.htm,Fyns Amt,5318.0,86.83,4618.0,15,2001,Ryslinge,Ryslinge,Faaborg-Midtfyn
Ringe,k435473.htm,Fyns Amt,8514.0,87.66,7464.0,19,2001,Ringe,Ringe,Faaborg-Midtfyn
Nyborg,k435449.htm,Fyns Amt,14773.0,84.18,12436.0,17,2001,Nyborg,Nyborg,Nyborg
Årslev,k435497.htm,Fyns Amt,6676.0,90.26,6026.0,15,2001,Årslev,Årslev,Faaborg-Midtfyn
Haarby,k435437.htm,Fyns Amt,3813.0,87.25,3327.0,13,2001,Haarby,Hårby,Assens
Tommerup,k435485.htm,Fyns Amt,5772.0,88.35,5100.0,15,2001,Tommerup,Tommerup,Assens
Glamsbjerg,k435433.htm,Fyns Amt,4463.0,87.58,3909.0,13,2001,Glamsbjerg,Glamsbjerg,Assens
Assens,k435421.htm,Fyns Amt,8409.0,84.94,7143.0,15,2001,Assens,Assens,Assens
Odense,k435461.htm,Fyns Amt,144939.0,82.04,118914.0,29,2001,Odense,Odense,Odense
Munkebo,k435447.htm,Fyns Amt,4376.0,85.53,3743.0,13,2001,Munkebo,Munkebo,Kerteminde
Otterup,k435471.htm,Fyns Amt,8360.0,88.55,7403.0,17,2001,Otterup,Otterup,Bogense
Søndersø,k435483.htm,Fyns Amt,8425.0,89.27,7521.0,15,2001,Søndersø,Søndersø,Bogense
Vissenbjerg,k435491.htm,Fyns Amt,4622.0,88.66,4098.0,13,2001,Vissenbjerg,Vissenbjerg,Assens
Aarup,k435499.htm,Fyns Amt,4001.0,87.47,3500.0,15,2001,Aarup,Aarup,Assens
Bogense,k435423.htm,Fyns Amt,4931.0,87.0,4290.0,15,2001,Bogense,Bogense,Bogense
Ejby,k435429.htm,Fyns Amt,7555.0,87.59,6618.0,17,2001,Ejby,Ejby,Middelfart
Nørre Aaby,k435451.htm,Fyns Amt,4003.0,88.35,3537.0,15,2001,Nørre Aaby,Nørre Aaby,Middelfart
Middelfart,k435445.htm,Fyns Amt,15397.0,88.14,13572.0,19,2001,Middelfart,Middelfart,Middelfart
Ærøskøbing,k435493.htm,Fyns Amt,3170.0,84.25,2671.0,13,2001,Ærøskøbing,Ærøskøbing,Ærø
Marstal,k435443.htm,Fyns Amt,2664.0,85.13,2268.0,11,2001,Marstal,Marstal,Ærø
Tranekær,k435487.htm,Fyns Amt,2882.0,85.87,2475.0,11,2001,Tranekær,Tranekær,Langeland
Rudkøbing,k435475.htm,Fyns Amt,5371.0,84.77,4553.0,17,2001,Rudkøbing,Rudkøbing,Langeland
Sydlangeland,k435481.htm,Fyns Amt,3412.0,85.6,2921.0,13,2001,Sydlangeland,Sydlangeland,Langeland
Ry,k444737.htm,Århus Amt,7717.0,90.95,7019.0,15,2001,Ry,Ry,Skanderborg
Them,k444749.htm,Århus Amt,5030.0,86.64,4358.0,11,2001,Them,Them,Silkeborg
Silkeborg,k444743.htm,Århus Amt,40584.0,87.41,35475.0,21,2001,Silkeborg,Silkeborg,Silkeborg
Gjern,k444705.htm,Århus Amt,5748.0,88.69,5098.0,15,2001,Gjern,Gjern,Silkeborg
Hammel,k444711.htm,Århus Amt,7962.0,90.06,7171.0,15,2001,Hammel,Hammel,Favrskov
Langå,k444717.htm,Århus Amt,6123.0,89.56,5484.0,17,2001,Langå,Langå,Randers
Purhus,k444729.htm,Århus Amt,6337.0,89.08,5645.0,15,2001,Purhus,Purhus,Randers
Mariager,k444719.htm,Århus Amt,6325.0,85.64,5417.0,15,2001,Mariager,Mariager,Mariagerfjord
Randers,k444731.htm,Århus Amt,49469.0,83.18,41150.0,25,2001,Randers,Randers,Randers
Hadsten,k444709.htm,Århus Amt,8466.0,88.56,7498.0,17,2001,Hadsten,Hadsten,Favrskov
Hinnerup,k444713.htm,Århus Amt,8231.0,92.38,7604.0,17,2001,Hinnerup,Hinnerup,Favrskov
Galten,k444703.htm,Århus Amt,7736.0,91.42,7073.0,15,2001,Galten,Galten,Skanderborg
Skanderborg,k444745.htm,Århus Amt,15983.0,87.06,13916.0,19,2001,Skanderborg,Skanderborg,Skanderborg
Hørning,k444715.htm,Århus Amt,6155.0,90.72,5584.0,13,2001,Hørning,Hørning,Skanderborg
Odder,k444727.htm,Århus Amt,15435.0,88.17,13610.0,19,2001,Odder,Odder,Odder
Nørhald,k444723.htm,Århus Amt,6450.0,88.54,5711.0,15,2001,Nørhald,Nørhald,Randers
Sønderhald,k444747.htm,Århus Amt,6224.0,88.88,5532.0,15,2001,Sønderhald,Sønderhald,Norddjurs
Rosenholm,k444733.htm,Århus Amt,7563.0,87.71,6634.0,15,2001,Rosenholm,Rosenholm,Syddjurs
Nørre Djurs,k444725.htm,Århus Amt,5883.0,85.58,5035.0,15,2001,Nørre Djurs,Nørre Djurs,Norddjurs
Grenaa,k444707.htm,Århus Amt,14624.0,84.13,12304.0,19,2001,Grenaa,Grenå,Norddjurs
Midtdjurs,k444721.htm,Århus Amt,5800.0,87.29,5063.0,15,2001,Midtdjurs,Midtdjurs,Syddjurs
Rønde,k444739.htm,Århus Amt,5075.0,89.24,4529.0,13,2001,Rønde,Rønde,Syddjurs
Ebeltoft,k444701.htm,Århus Amt,11579.0,85.37,9886.0,19,2001,Ebeltoft,Ebeltoft,Syddjurs
Samsø,k444741.htm,Århus Amt,3386.0,86.2,2919.0,13,2001,Samsø,Samsø,Samsø
Århus,k444751.htm,Århus Amt,226719.0,85.13,193012.0,31,2001,Århus,Århus,Århus
Fredericia,k442607.htm,Vejle Amt,37496.0,84.35,31631.0,21,2001,Fredericia,Fredericia,Fredericia
Kolding,k442621.htm,Vejle Amt,48390.0,84.39,40837.0,25,2001,Kolding,Kolding,Kolding
Juelsminde,k442619.htm,Vejle Amt,11659.0,89.41,10425.0,19,2001,Juelsminde,Juelsminde,Hedensted
Hedensted,k442613.htm,Vejle Amt,11943.0,89.29,10665.0,19,2001,Hedensted,Hedensted,Hedensted
Børkop,k442603.htm,Vejle Amt,8249.0,86.72,7154.0,15,2001,Børkop,Børkop,Vejle
Vejle,k442631.htm,Vejle Amt,43035.0,85.34,36729.0,25,2001,Vejle,Vejle,Vejle
Tørring-Uldum,k442627.htm,Vejle Amt,9087.0,89.03,8091.0,19,2001,Tørring-Uldum,Tørring-Uldum,Hedensted
Vamdrup,k442629.htm,Vejle Amt,5315.0,87.18,4634.0,15,2001,Vamdrup,Vamdrup,Kolding
Egtved,k442605.htm,Vejle Amt,11164.0,88.74,9907.0,19,2001,Egtved,Egtved,Vejle
Horsens,k442615.htm,Vejle Amt,44537.0,85.32,38001.0,25,2001,Horsens,Horsens,Horsens
Gedved,k442609.htm,Vejle Amt,7345.0,89.44,6570.0,15,2001,Gedved,Gedved,Horsens
Brædstrup,k442601.htm,Vejle Amt,6440.0,87.67,5646.0,15,2001,Brædstrup,Brædstrup,Horsens
Give,k442611.htm,Vejle Amt,10416.0,87.11,9074.0,17,2001,Give,Give,Vejle
Nørre-Snede,k442625.htm,Vejle Amt,5451.0,85.7,4672.0,17,2001,Nørre-Snede,Nørre-Snede,Ikast-Brande
Norborg,k436523.htm,Sønderjyllands Amt,10877.0,87.69,9539.0,17,2001,Nordborg,Nordborg,Sønderborg
Augustenborg,k436501.htm,Sønderjyllands Amt,4850.0,89.75,4353.0,13,2001,Augustenborg,Augustenborg,Sønderborg
Sydals,k436535.htm,Sønderjyllands Amt,4894.0,88.53,4333.0,13,2001,Sydals,Sydals,Sønderborg
Sønderborg,k436537.htm,Sønderjyllands Amt,23644.0,83.45,19731.0,21,2001,Sønderborg,Sønderborg,Sønderborg
Sundeved,k436533.htm,Sønderjyllands Amt,3785.0,88.95,3367.0,13,2001,Sundeved,Sundeved,Sønderborg
Broager,k436507.htm,Sønderjyllands Amt,4655.0,88.54,4122.0,11,2001,Broager,Broager,Sønderborg
Gråsten,k436513.htm,Sønderjyllands Amt,5507.0,86.07,4740.0,13,2001,Gråsten,Gråsten,Sønderborg
Aabenraa,k436545.htm,Sønderjyllands Amt,17244.0,85.43,14732.0,21,2001,Aabenraa,Aabenrå,Aabenraa
Lundtoft,k436519.htm,Sønderjyllands Amt,4546.0,85.92,3906.0,13,2001,Lundtoft,Lundtoft,Aabenraa
Bov,k436503.htm,Sønderjyllands Amt,7846.0,82.09,6441.0,17,2001,Bov,Bov,Aabenraa
Rødekro,k436529.htm,Sønderjyllands Amt,8365.0,88.73,7423.0,17,2001,Rødekro,Rødekro,Aabenraa
Tinglev,k436539.htm,Sønderjyllands Amt,7576.0,84.14,6375.0,17,2001,Tinglev,Tinglev,Aabenraa
Haderslev,k436515.htm,Sønderjyllands Amt,24500.0,85.6,20973.0,21,2001,Haderslev,Haderslev,Haderslev
Christiansfeld,k436509.htm,Sønderjyllands Amt,7092.0,87.09,6177.0,17,2001,Christiansfeld,Christiansfeld,Kolding
Vojens,k436543.htm,Sønderjyllands Amt,12663.0,88.63,11224.0,21,2001,Vojens,Vojens,Haderslev
Nørre-Rangstrup,k436525.htm,Sønderjyllands Amt,7157.0,87.15,6238.0,17,2001,Nørre-Rangstrup,Nørre-Rangstrup,Tønder
