name,href,amt,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year
Herning,k443657.htm,Ringkøbing Amt,45184,87.07,39346,21,2001
Brande,k443653.htm,Ringkøbing Amt,6620,85.78,5679,15,2001
Aaskov,k443685.htm,Ringkøbing Amt,5087,87.85,4469,13,2001
Trehøje,k443677.htm,Ringkøbing Amt,6986,90.30,6309,17,2001
Videbæk,k443681.htm,Ringkøbing Amt,8885,89.26,7931,19,2001
Skjern,k443669.htm,Ringkøbing Amt,9782,87.74,8583,21,2001
Egvad,k443655.htm,Ringkøbing Amt,7137,87.47,6243,17,2001
Ringkøbing,k443667.htm,Ringkøbing Amt,13181,87.63,11551,19,2001
Ulfborg-Vemb,k443679.htm,Ringkøbing Amt,5335,86.33,4606,15,2001
Lemvig,k443665.htm,Ringkøbing Amt,14004,86.97,12180,21,2001
Kjellerup,k464771.htm,Viborg Amt,10391,88.14,9159,17,2001
Karup,k464769.htm,Viborg Amt,5104,88.77,4531,15,2001
Fjends,k464763.htm,Viborg Amt,5939,88.33,5246,15,2001
Viborg,k464791.htm,Viborg Amt,33282,85.91,28595,21,2001
Hvorslev,k464767.htm,Viborg Amt,5071,86.68,4396,15,2001
Bjerringbro,k464761.htm,Viborg Amt,10369,87.30,9053,19,2001
Tjele,k464789.htm,Viborg Amt,6154,89.71,5521,15,2001
Møldrup,k464775.htm,Viborg Amt,5690,90.07,5125,15,2001
Aalestrup,k464793.htm,Viborg Amt,5707,84.89,4845,15,2001
Skive,k464779.htm,Viborg Amt,21660,85.76,18576,21,2001
Spøttrup,k464781.htm,Viborg Amt,5808,89.04,5172,15,2001
Sundsøre,k464783.htm,Viborg Amt,4957,88.54,4389,15,2001
Sallingsund,k464777.htm,Viborg Amt,4685,87.44,4097,13,2001
Morsø,k464773.htm,Viborg Amt,17516,86.03,15070,21,2001
Sydthy,k464785.htm,Viborg Amt,8719,85.26,7434,19,2001
Thisted,k464787.htm,Viborg Amt,22211,86.34,19178,21,2001
Hanstholm,k464765.htm,Viborg Amt,4444,83.39,3706,13,2001
Aars,k475861.htm,Nordjyllands Amt,9931,85.68,8509,19,2001
Farsø,k475809.htm,Nordjyllands Amt,6140,86.43,5307,15,2001
Fjerritslev,k475811.htm,Nordjyllands Amt,6357,84.45,5369,17,2001
Nørager,k475833.htm,Nordjyllands Amt,4095,86.27,3533,13,2001
Brovst,k475803.htm,Nordjyllands Amt,6400,85.09,5446,17,2001
Hobro,k475823.htm,Nordjyllands Amt,11640,85.52,9955,15,2001
Arden,k475801.htm,Nordjyllands Amt,6214,87.17,5417,15,2001
Hadsund,k475815.htm,Nordjyllands Amt,8342,85.59,7140,17,2001
Støvring,k475845.htm,Nordjyllands Amt,9336,87.79,8197,19,2001
Nibe,k475831.htm,Nordjyllands Amt,6072,88.12,5351,17,2001
Skørping,k475843.htm,Nordjyllands Amt,7357,88.26,6494,17,2001
Pandrup,k475835.htm,Nordjyllands Amt,8247,85.17,7024,17,2001
Løkken-Vrå,k475829.htm,Nordjyllands Amt,6815,85.54,5830,17,2001
Aabybro,k475849.htm,Nordjyllands Amt,8463,88.94,7527,17,2001
Hjørring,k475821.htm,Nordjyllands Amt,27331,84.08,22982,21,2001
Hirtshals,k475819.htm,Nordjyllands Amt,10947,82.31,9011,19,2001
Skagen,k475841.htm,Nordjyllands Amt,9826,81.98,8056,17,2001
Frederikshavn,k475813.htm,Nordjyllands Amt,26835,83.52,22415,21,2001
Sindal,k475839.htm,Nordjyllands Amt,6979,85.62,5976,17,2001
Brønderslev,k475805.htm,Nordjyllands Amt,15411,86.18,13282,21,2001
Sæby,k475847.htm,Nordjyllands Amt,13820,84.18,11635,21,2001
Dronninglund,k475807.htm,Nordjyllands Amt,11523,87.49,10082,21,2001
Hals,k475817.htm,Nordjyllands Amt,8555,88.06,7534,17,2001
Sejlflod,k475837.htm,Nordjyllands Amt,6943,87.08,6046,17,2001
Aalborg,k475851.htm,Nordjyllands Amt,129183,83.00,107230,31,2001
Rønne,,Bornholms Amt,11703,83,9716,21,2001
Bredebro,,Sønderjyllands Amt,2777,86.9,2413,13,2001
Rougsø,,Århus Amt,6165,84,5178,15,2001
Stenlille,,Vestsjællands Amt,4110,87.2,3582,13,2001
Ullerslev,,Fyns Amt,3721,89.7,3338,13,2001
Løgstør,,Nordjyllands Amt,8064,83.3,6715,19,2001
Thyborøn-Harboøre,,Ringkøbing Amt,3629,83.7,3037,13,2001
Sydfalster,,Storstrøms Amt,5711,89.7,5123,15,2001
Jelling,,Vejle Amt,4088,90.4,3695,13,2001
Langeskov,,Fyns Amt,4660,90.2,4205,13,2001
Nykøbing-Rørvig,,Vestsjællands Amt,6084,85.9,5229,15,2001
Ørbæk,,Fyns Amt,5080,88.7,4505,15,2001
Holmsland,,Ringkøbing Amt,3977,83.6,3324,11,2001
Broby,,Fyns Amt,4774,87.7,4188,15,2001
Aulum-Haderup,,Ringkøbing Amt,4966,90,4470,15,2001
Lunderskov,,Vejle Amt,3898,88.4,3445,13,2001
Læsø,,Nordjyllands Amt,1800,85.9,1546,9,2001
Fanø,,Ribe Amt,2527,88.6,2239,11,2001
